,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country_name,Continent
341,PISAMATH,GIRL,MEANSCORE,A,2012,487.815,United Kingdom,EU
342,PISAMATH,GIRL,MEANSCORE,A,2015,487.0,United Kingdom,EU
343,PISAMATH,GIRL,MEANSCORE,A,2018,496.0,United Kingdom,EU
344,PISAMATH,BOY,MEANSCORE,A,2003,486.0,United States,'NA'
345,PISAMATH,BOY,MEANSCORE,A,2006,479.0,United States,'NA'
346,PISAMATH,BOY,MEANSCORE,A,2009,497.0,United States,'NA'
347,PISAMATH,BOY,MEANSCORE,A,2012,483.647,United States,'NA'
348,PISAMATH,BOY,MEANSCORE,A,2015,474.0,United States,'NA'
349,PISAMATH,BOY,MEANSCORE,A,2018,482.0,United States,'NA'
350,PISAMATH,GIRL,MEANSCORE,A,2003,480.0,United States,'NA'
351,PISAMATH,GIRL,MEANSCORE,A,2006,470.0,United States,'NA'
352,PISAMATH,GIRL,MEANSCORE,A,2009,477.0,United States,'NA'
353,PISAMATH,GIRL,MEANSCORE,A,2012,478.995,United States,'NA'
354,PISAMATH,GIRL,MEANSCORE,A,2015,465.0,United States,'NA'
355,PISAMATH,GIRL,MEANSCORE,A,2018,474.0,United States,'NA'
